,close,high,low
2025-02-11,95767.1,98442.3,94899.2
2025-02-12,97874.0,98042.8,94111.0
2025-02-13,96628.0,98077.1,95273.7
2025-02-14,97464.0,98826.0,96340.7
2025-02-15,97588.2,97902.0,97279.3
2025-02-16,96144.1,97700.0,96112.6
2025-02-17,95772.8,97032.6,95224.7
2025-02-18,95600.0,96650.9,93388.7
2025-02-19,96625.7,96875.0,94996.8
2025-02-20,98339.1,98744.0,96405.7
2025-02-21,96099.5,99481.1,94858.0
2025-02-22,96600.1,96900.0,95791.3
2025-02-23,96303.4,96621.6,95300.0
2025-02-24,91534.4,96483.0,91400.0
2025-02-25,88632.6,92487.3,86000.0
2025-02-26,84089.8,89271.0,80525.0
2025-02-27,84691.4,86951.2,82611.0
2025-02-28,84309.2,85061.0,78219.0
2025-03-01,86020.8,86515.9,83799.3
2025-03-02,94285.0,95000.0,84500.1
2025-03-03,86144.7,94401.6,85055.0
2025-03-04,87250.0,88888.0,81434.5
2025-03-05,90610.4,90975.1,86378.4
2025-03-06,89916.8,92741.5,87836.3
2025-03-07,86762.3,91227.4,84665.7
2025-03-08,86164.1,86809.4,85230.0
2025-03-09,80684.0,86435.2,80006.7
2025-03-10,78558.8,83971.5,77414.3
2025-03-11,82900.0,83607.9,76615.7
2025-03-12,83673.4,84482.0,80628.9
2025-03-13,81112.3,84282.4,79930.7
2025-03-14,83997.6,85278.7,80847.2
2025-03-15,84332.9,84659.4,83666.9
2025-03-16,82599.9,85021.0,82009.8
2025-03-17,84015.2,84700.0,82500.0
2025-03-18,82705.4,84015.2,81166.0
2025-03-19,86879.5,87000.0,82553.3
2025-03-20,84178.6,87433.9,83609.1
2025-03-21,84034.3,84771.3,83179.3
2025-03-22,83800.0,84450.0,83667.4
2025-03-23,86076.5,86100.0,83799.9
2025-03-24,87505.3,88750.0,85558.1
2025-03-25,87458.1,88500.0,86306.7
2025-03-26,86899.0,88263.0,85853.7
2025-03-27,87209.9,87755.8,85838.9
2025-03-28,84373.9,87441.7,83530.1
2025-03-29,82613.8,84559.8,81655.0
2025-03-30,82325.4,83500.0,81588.7
2025-03-31,82523.0,83870.8,81270.3
2025-04-01,85201.1,85500.0,82415.9
2025-04-02,82508.1,89042.7,82141.5
2025-04-03,83132.9,83911.0,81177.7
2025-04-04,83840.8,84709.7,81657.9
2025-04-05,83508.9,84200.0,82400.0
2025-04-06,78363.4,83680.0,77057.7
2025-04-07,79130.1,81323.6,74409.1
2025-04-08,76276.5,80800.0,76164.6
2025-04-09,82556.3,83548.9,74572.5
2025-04-10,79552.1,82676.5,78451.2
2025-04-11,83420.1,84261.7,78914.7
2025-04-12,85284.1,85850.9,82750.0
2025-04-13,83719.0,86037.9,83025.5
